Regiao,Ano,Quantidade,Tipo_Crime
Plano Piloto,2022,45,Roubo de Veículo
Plano Piloto,2022,34,Roubo em Comércio
Plano Piloto,2022,24,Roubo em Transporte Coletivo
Plano Piloto,2023,2750,Furto em Veículo
Plano Piloto,2023,1454,Roubo a Transeunte
Plano Piloto,2023,45,Roubo de Veículo
Plano Piloto,2023,43,Roubo em Comércio
Plano Piloto,2023,18,Roubo em Transporte Coletivo
Plano Piloto,2024,2572,Furto em Veículo
Plano Piloto,2024,991,Roubo a Transeunte
Plano Piloto,2024,32,Roubo de Veículo
Plano Piloto,2024,32,Roubo em Comércio
Plano Piloto,2024,17,Roubo em Transporte Coletivo
Brazlândia,2015,96,Furto em Veículo
Brazlândia,2015,21,Homicídio
Brazlândia,2015,0,LCSM (Lesão Corporal Seguida de Morte)
Brazlândia,2015,0,Latrocínio
Brazlândia,2015,369,Roubo a Transeunte
Brazlândia,2015,85,Roubo de Veículo
Brazlândia,2015,57,Roubo em Comércio
Brazlândia,2015,15,Roubo em Transporte Coletivo
Brazlândia,2016,101,Furto em Veículo
Brazlândia,2016,19,Homicídio
Brazlândia,2016,0,LCSM (Lesão Corporal Seguida de Morte)
Brazlândia,2016,1,Latrocínio
Brazlândia,2016,460,Roubo a Transeunte
Brazlândia,2016,71,Roubo de Veículo
Brazlândia,2016,36,Roubo em Comércio
Brazlândia,2016,6,Roubo em Transporte Coletivo
Brazlândia,2017,114,Furto em Veículo
Brazlândia,2017,11,Homicídio
Brazlândia,2017,1,LCSM (Lesão Corporal Seguida de Morte)
Brazlândia,2017,3,Latrocínio
Brazlândia,2017,489,Roubo a Transeunte
Brazlândia,2017,81,Roubo de Veículo
Brazlândia,2017,49,Roubo em Comércio
Brazlândia,2017,23,Roubo em Transporte Coletivo
Brazlândia,2018,101,Furto em Veículo
Brazlândia,2018,21,Homicídio
Brazlândia,2018,2,LCSM (Lesão Corporal Seguida de Morte)
Brazlândia,2018,1,Latrocínio
Brazlândia,2018,332,Roubo a Transeunte
Brazlândia,2018,74,Roubo de Veículo
Brazlândia,2018,26,Roubo em Comércio
Brazlândia,2018,7,Roubo em Transporte Coletivo
Brazlândia,2019,90,Furto em Veículo
Brazlândia,2019,2,Homicídio
Brazlândia,2019,0,LCSM (Lesão Corporal Seguida de Morte)
Brazlândia,2019,1,Latrocínio
Brazlândia,2019,271,Roubo a Transeunte
Brazlândia,2019,55,Roubo de Veículo
Brazlândia,2019,14,Roubo em Comércio
Brazlândia,2019,0,Roubo em Transporte Coletivo
Brazlândia,2020,70,Furto em Veículo
Brazlândia,2020,5,Homicídio
Brazlândia,2020,0,LCSM (Lesão Corporal Seguida de Morte)
Brazlândia,2020,1,Latrocínio
Brazlândia,2020,200,Roubo a Transeunte
Brazlândia,2020,39,Roubo de Veículo
Brazlândia,2020,5,Roubo em Comércio
Brazlândia,2020,1,Roubo em Transporte Coletivo
Brazlândia,2021,52,Furto em Veículo
Brazlândia,2021,9,Homicídio
Brazlândia,2021,0,LCSM (Lesão Corporal Seguida de Morte)
Brazlândia,2021,0,Latrocínio
Brazlândia,2021,136,Roubo a Transeunte
Brazlândia,2021,34,Roubo de Veículo
Brazlândia,2021,6,Roubo em Comércio
Brazlândia,2021,0,Roubo em Transporte Coletivo
Brazlândia,2022,78,Furto em Veículo
Brazlândia,2022,7,Homicídio
Brazlândia,2022,0,LCSM (Lesão Corporal Seguida de Morte)
Brazlândia,2022,1,Latrocínio
Brazlândia,2022,155,Roubo a Transeunte
Brazlândia,2022,26,Roubo de Veículo
Brazlândia,2022,6,Roubo em Comércio
Brazlândia,2022,0,Roubo em Transporte Coletivo
Brazlândia,2023,47,Furto em Veículo
Brazlândia,2023,5,Homicídio
Brazlândia,2023,0,LCSM (Lesão Corporal Seguida de Morte)
Brazlândia,2023,0,Latrocínio
Brazlândia,2023,113,Roubo a Transeunte
Brazlândia,2023,24,Roubo de Veículo
Brazlândia,2023,7,Roubo em Comércio
Brazlândia,2023,1,Roubo em Transporte Coletivo
Brazlândia,2024,45,Furto em Veículo
Brazlândia,2024,5,Homicídio
Brazlândia,2024,1,LCSM (Lesão Corporal Seguida de Morte)
Brazlândia,2024,1,Latrocínio
Brazlândia,2024,61,Roubo a Transeunte
Brazlândia,2024,18,Roubo de Veículo
Brazlândia,2024,2,Roubo em Comércio
Brazlândia,2024,0,Roubo em Transporte Coletivo
Candangolândia,2015,33,Furto em Veículo
Candangolândia,2015,6,Homicídio
Candangolândia,2015,0,LCSM (Lesão Corporal Seguida de Morte)
Candangolândia,2015,1,Latrocínio
Candangolândia,2015,82,Roubo a Transeunte
Candangolândia,2015,14,Roubo de Veículo
Candangolândia,2015,33,Roubo em Comércio
Candangolândia,2015,4,Roubo em Transporte Coletivo
Candangolândia,2016,31,Furto em Veículo
Candangolândia,2016,2,Homicídio
Candangolândia,2016,0,LCSM (Lesão Corporal Seguida de Morte)
Candangolândia,2016,0,Latrocínio
Candangolândia,2016,93,Roubo a Transeunte
Candangolândia,2016,14,Roubo de Veículo
Candangolândia,2016,19,Roubo em Comércio
Candangolândia,2016,8,Roubo em Transporte Coletivo
Candangolândia,2017,26,Furto em Veículo
Candangolândia,2017,5,Homicídio
Candangolândia,2017,0,LCSM (Lesão Corporal Seguida de Morte)
Candangolândia,2017,1,Latrocínio
Candangolândia,2017,67,Roubo a Transeunte
Candangolândia,2017,13,Roubo de Veículo
Candangolândia,2017,8,Roubo em Comércio
Candangolândia,2017,10,Roubo em Transporte Coletivo
Candangolândia,2018,30,Furto em Veículo
Candangolândia,2018,0,Homicídio
Candangolândia,2018,0,LCSM (Lesão Corporal Seguida de Morte)
Candangolândia,2018,0,Latrocínio
Candangolândia,2018,62,Roubo a Transeunte
Candangolândia,2018,8,Roubo de Veículo
Candangolândia,2018,9,Roubo em Comércio
Candangolândia,2018,3,Roubo em Transporte Coletivo
Candangolândia,2019,22,Furto em Veículo
Candangolândia,2019,0,Homicídio
Candangolândia,2019,0,LCSM (Lesão Corporal Seguida de Morte)
Candangolândia,2019,0,Latrocínio
Candangolândia,2019,68,Roubo a Transeunte
Candangolândia,2019,9,Roubo de Veículo
Candangolândia,2019,7,Roubo em Comércio
Candangolândia,2019,1,Roubo em Transporte Coletivo
Candangolândia,2020,23,Furto em Veículo
Candangolândia,2020,2,Homicídio
Candangolândia,2020,0,LCSM (Lesão Corporal Seguida de Morte)
Candangolândia,2020,0,Latrocínio
Candangolândia,2020,47,Roubo a Transeunte
Candangolândia,2020,9,Roubo de Veículo
Candangolândia,2020,0,Roubo em Comércio
Candangolândia,2020,6,Roubo em Transporte Coletivo
Candangolândia,2021,14,Furto em Veículo
Candangolândia,2021,1,Homicídio
Candangolândia,2021,0,LCSM (Lesão Corporal Seguida de Morte)
Candangolândia,2021,0,Latrocínio
Candangolândia,2021,44,Roubo a Transeunte
Candangolândia,2021,1,Roubo de Veículo
Candangolândia,2021,11,Roubo em Comércio
Candangolândia,2021,2,Roubo em Transporte Coletivo
Candangolândia,2022,14,Furto em Veículo
Candangolândia,2022,3,Homicídio
Candangolândia,2022,0,LCSM (Lesão Corporal Seguida de Morte)
Candangolândia,2022,0,Latrocínio
Candangolândia,2022,47,Roubo a Transeunte
Candangolândia,2022,3,Roubo de Veículo
Candangolândia,2022,3,Roubo em Comércio
Candangolândia,2022,3,Roubo em Transporte Coletivo
Candangolândia,2023,11,Furto em Veículo
Candangolândia,2023,1,Homicídio
Candangolândia,2023,0,LCSM (Lesão Corporal Seguida de Morte)
Candangolândia,2023,0,Latrocínio
Candangolândia,2023,35,Roubo a Transeunte
Candangolândia,2023,2,Roubo de Veículo
Candangolândia,2023,3,Roubo em Comércio
Candangolândia,2023,2,Roubo em Transporte Coletivo
Candangolândia,2024,3,Furto em Veículo
Candangolândia,2024,0,Homicídio
Candangolândia,2024,0,LCSM (Lesão Corporal Seguida de Morte)
Candangolândia,2024,0,Latrocínio
Candangolândia,2024,25,Roubo a Transeunte
Candangolândia,2024,1,Roubo de Veículo
Candangolândia,2024,3,Roubo em Comércio
Candangolândia,2024,2,Roubo em Transporte Coletivo
Ceilândia,2015,1114,Furto em Veículo
Ceilândia,2015,112,Homicídio
Ceilândia,2015,0,LCSM (Lesão Corporal Seguida de Morte)
Ceilândia,2015,6,Latrocínio
Ceilândia,2015,5813,Roubo a Transeunte
Ceilândia,2015,853,Roubo de Veículo
Ceilândia,2015,391,Roubo em Comércio
Ceilândia,2015,575,Roubo em Transporte Coletivo
Ceilândia,2016,1280,Furto em Veículo
Ceilândia,2016,90,Homicídio
Ceilândia,2016,1,LCSM (Lesão Corporal Seguida de Morte)
Ceilândia,2016,3,Latrocínio
Ceilândia,2016,6202,Roubo a Transeunte
Ceilândia,2016,871,Roubo de Veículo
Ceilândia,2016,398,Roubo em Comércio
